epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1618,0.91146,1.38803,1.12966,0.78413,0.78501,0.86142,0.66138,0.83728,0.96899,1.05529,0.00332637,0.00332637,0.00332637
2,165.687,0.90026,0.89722,1.10042,0.76627,0.78802,0.85638,0.6345,0.91866,0.85649,1.10281,0.00659378,0.00659378,0.00659378
3,240.998,0.94129,0.85704,1.12261,0.794,0.76644,0.84895,0.62964,0.92792,0.87373,1.11823,0.00979518,0.00979518,0.00979518
4,316.383,0.95741,0.82341,1.14335,0.79138,0.77512,0.8517,0.63753,0.91947,0.86583,1.12361,0.009703,0.009703,0.009703
5,390.031,0.94034,0.7717,1.13161,0.7846,0.79209,0.86022,0.65844,0.87883,0.73237,1.09716,0.009604,0.009604,0.009604
6,464.877,0.9277,0.74719,1.1235,0.76849,0.7911,0.8544,0.65447,0.88521,0.73777,1.0921,0.009505,0.009505,0.009505
7,539.178,0.91516,0.72799,1.11662,0.77725,0.80066,0.86703,0.66694,0.86079,0.72059,1.07973,0.009406,0.009406,0.009406
8,613.582,0.90206,0.70319,1.10917,0.77634,0.82173,0.87502,0.67323,0.85755,0.69433,1.0821,0.009307,0.009307,0.009307
9,687.507,0.89046,0.68984,1.09977,0.79328,0.8285,0.89162,0.69442,0.84322,0.63698,1.06144,0.009208,0.009208,0.009208
10,761.784,0.88826,0.67759,1.10162,0.79113,0.81598,0.88257,0.68832,0.84338,0.65277,1.07021,0.009109,0.009109,0.009109
11,836.089,0.87324,0.66502,1.09447,0.79366,0.82801,0.88977,0.69712,0.82858,0.63782,1.05137,0.00901,0.00901,0.00901
12,910.665,0.87198,0.65996,1.09155,0.80865,0.81895,0.89397,0.6995,0.83596,0.62969,1.05316,0.008911,0.008911,0.008911
13,984.691,0.87092,0.64735,1.08763,0.81732,0.81596,0.89706,0.70635,0.81268,0.61537,1.04493,0.008812,0.008812,0.008812
14,1059.33,0.86156,0.63799,1.08394,0.82517,0.81569,0.90098,0.71438,0.79369,0.59659,1.0294,0.008713,0.008713,0.008713
15,1132.69,0.85497,0.63209,1.08096,0.81392,0.83085,0.90366,0.7159,0.81005,0.59216,1.04179,0.008614,0.008614,0.008614
16,1206.31,0.8468,0.62587,1.08121,0.80445,0.83624,0.90357,0.71836,0.79691,0.59067,1.03004,0.008515,0.008515,0.008515
17,1280.82,0.8456,0.62372,1.08164,0.8017,0.84456,0.90236,0.72202,0.77861,0.59182,1.02708,0.008416,0.008416,0.008416
18,1354.07,0.84664,0.61796,1.07605,0.81161,0.82471,0.89747,0.71797,0.77929,0.59645,1.02054,0.008317,0.008317,0.008317
19,1428.98,0.8408,0.61548,1.07738,0.79353,0.84695,0.90293,0.72258,0.77205,0.5786,1.01212,0.008218,0.008218,0.008218
20,1501.5,0.83775,0.60804,1.07059,0.8039,0.84267,0.90712,0.7201,0.8002,0.57595,1.03755,0.008119,0.008119,0.008119
21,1574.64,0.83824,0.6073,1.07331,0.81977,0.82801,0.90452,0.71772,0.79047,0.58656,1.02064,0.00802,0.00802,0.00802
22,1646.52,0.82954,0.59775,1.06575,0.80822,0.838,0.90129,0.72537,0.77046,0.57359,1.01532,0.007921,0.007921,0.007921
23,1718.31,0.82738,0.59796,1.06732,0.83433,0.81058,0.90887,0.72764,0.77846,0.56222,1.0225,0.007822,0.007822,0.007822
24,1791.46,0.82107,0.59075,1.06305,0.81746,0.84217,0.91095,0.72899,0.78417,0.5652,1.01923,0.007723,0.007723,0.007723
25,1864.26,0.81953,0.58341,1.06141,0.82987,0.81324,0.90508,0.72901,0.77329,0.56929,1.01792,0.007624,0.007624,0.007624
26,1934.13,0.81578,0.5798,1.05579,0.80359,0.85502,0.90748,0.73182,0.76548,0.55122,1.00596,0.007525,0.007525,0.007525
27,2007.46,0.81275,0.57586,1.05483,0.80179,0.85717,0.91225,0.73254,0.7766,0.53739,1.01363,0.007426,0.007426,0.007426
28,2079.68,0.8121,0.57423,1.05308,0.8268,0.84304,0.91199,0.73435,0.77357,0.55025,1.01104,0.007327,0.007327,0.007327
29,2155.22,0.81101,0.56757,1.04895,0.81516,0.83476,0.91011,0.73072,0.77377,0.54305,1.01045,0.007228,0.007228,0.007228
30,2229.06,0.80894,0.56906,1.05123,0.82003,0.83361,0.90755,0.72989,0.77039,0.54409,1.0068,0.007129,0.007129,0.007129
31,2302.51,0.80278,0.56717,1.05463,0.82354,0.82497,0.90996,0.73495,0.76266,0.5437,1.00388,0.00703,0.00703,0.00703
32,2375.47,0.80517,0.5665,1.05078,0.83057,0.82817,0.9119,0.73866,0.7568,0.53606,1.00544,0.006931,0.006931,0.006931
33,2447.66,0.80319,0.56173,1.04819,0.84346,0.82537,0.91497,0.73901,0.76139,0.53048,1.00727,0.006832,0.006832,0.006832
34,2520.23,0.79455,0.55614,1.04498,0.83065,0.83031,0.91158,0.73482,0.76315,0.54233,1.01243,0.006733,0.006733,0.006733
35,2592.47,0.79901,0.55368,1.0544,0.82274,0.8388,0.91288,0.73614,0.76368,0.54618,1.00838,0.006634,0.006634,0.006634
36,2665.78,0.79664,0.55362,1.04655,0.83241,0.82998,0.91229,0.7388,0.75524,0.53093,1.00144,0.006535,0.006535,0.006535
37,2738.83,0.79022,0.54836,1.04131,0.8344,0.81417,0.9097,0.7327,0.77439,0.53537,1.0073,0.006436,0.006436,0.006436
38,2810.53,0.79264,0.54778,1.04562,0.82227,0.83307,0.91302,0.73837,0.7483,0.52662,0.99853,0.006337,0.006337,0.006337
39,2882.54,0.79065,0.5465,1.04316,0.82683,0.83443,0.91252,0.74183,0.74245,0.53473,0.99818,0.006238,0.006238,0.006238
40,2954.9,0.7856,0.54275,1.04271,0.8324,0.8341,0.91561,0.74022,0.75946,0.5254,1.00083,0.006139,0.006139,0.006139
41,3026.74,0.78225,0.5394,1.04412,0.84378,0.81598,0.91448,0.74416,0.74253,0.52071,0.9999,0.00604,0.00604,0.00604
42,3099.06,0.78735,0.53654,1.04052,0.83873,0.82257,0.91329,0.74066,0.75655,0.52083,1.00515,0.005941,0.005941,0.005941
43,3171.93,0.78488,0.53806,1.04391,0.82158,0.82867,0.90926,0.73847,0.75676,0.53053,1.00381,0.005842,0.005842,0.005842
